Date,Close,High,Low,Open,Volume,RSI_14,Microsoft stock,sell Microsoft stock,buy Microsoft stock
2017-10-09,71.40391540527344,71.64312646563405,70.26307399474638,70.3734737000591,74717000,71.88051555536111,37,0,36
2017-10-16,72.34237670898438,72.99560096214587,71.16473258952067,71.3671414886746,96514400,73.80640387599928,61,0,54
2017-10-23,76.5285415649414,79.30704526507316,72.45278463727219,72.86679774176007,184338100,80.2908881427407,52,0,70
2017-10-30,77.79817962646484,78.11099526606124,76.47333362030884,76.68493780007486,97461200,81.76532641942353,45,0,51
2017-11-06,76.34452056884766,77.5313597467544,76.07770953046739,77.3841577713822,92957500,74.86010974477658,40,0,45
2017-11-13,76.84814453125,77.57862346387444,76.04369144111739,76.83889599792049,101147400,75.62804912704038,34,0,44
2017-11-20,77.06079864501953,78.65120749505604,76.5429937374031,76.75566764135286,74997900,75.9619479742354,47,53,70
2017-11-27,76.54300689697266,78.42005706435474,74.61972111722035,77.21800874293253,153996000,73.32768797507595,48,0,66
2017-12-04,78.91938018798828,79.56664355510591,75.82178431294552,76.32109934887123,116518300,77.23036670388646,46,0,60
2017-12-11,79.07657623291016,80.90739817563613,78.16116878882981,78.99336058097798,142726200,77.46525770019026,43,0,57
2017-12-18,79.25225067138672,79.61286588221695,78.52177171610995,79.56663732326373,56705700,77.74160537449012,33,0,38
2017-12-25,79.8440170288086,79.99196532467292,79.05806110707775,79.4279247921755,77856900,78.68963202802144,43,0,65
2018-01-01,81.20325469970703,82.04469468386463,80.0474351970042,80.06592520503999,105568600,80.72079870059164,48,0,49
2018-01-08,83.34844970703125,83.94947721819223,80.66694723347133,81.48989009867752,104301300,83.40858160331412,49,0,77
2018-01-15,84.9018783569336,86.39057446267277,82.90462589526372,83.03407711710517,141326600,85.03553651165404,58,0,57
2018-01-22,87.85153198242188,88.25837565603976,85.0035909942842,85.50290587307944,174516700,87.53500901240366,78,65,70
2018-01-29,82.85841369628906,88.83168981472546,78.82691350849808,87.64813142098214,255233400,67.10287034651282,82,60,100
2018-02-05,83.9679946899414,84.1344330235559,77.51390086830416,82.95087467543698,216216700,68.84329568357141,59,56,59
2018-02-12,84.994140625,86.86143112901449,84.18591580196085,84.73402196527697,116255000,70.40278717479538,46,0,62
2018-02-19,87.1122817993164,89.03531052060794,84.8733966435856,85.51440857991739,137958200,73.36621800122495,52,0,65
2018-02-26,87.19587707519531,87.85546574438985,84.40887910455247,87.31664443568366,142759500,73.47907905373023,47,0,52
2018-03-05,87.18657684326172,90.33588368492026,86.86142852834301,87.57675482116416,156418600,73.44179258529225,48,0,50
2018-03-12,85.91387939453125,88.60797235326335,85.5701470178919,86.88932464547442,157568700,68.33173195394835,52,0,21
2018-03-19,83.0432357788086,88.38498104101345,80.89724995023069,84.78975167818314,248140500,58.45247116903632,67,0,42
