Date,Close,High,Low,Open,Volume,RSI_14,Google stock,sell Google stock,buy Google stock
2019-01-21,54.1963005065918,54.4421377562465,52.54437670019776,53.570267882328245,121326000,49.72477670798972,48,28,31
2019-01-28,55.49863815307617,57.07964704126711,54.51230866442019,54.89002101443829,224696000,53.253687756795806,59,44,41
2019-02-04,55.74396896362305,56.46903506533117,54.04402056013459,54.947741047909126,136894000,53.90999417088744,45,38,39
2019-02-11,55.427467346191406,56.31675652447444,55.00347688225316,55.6389671069585,90632000,52.87854620674387,41,42,32
2019-02-18,55.53944396972656,55.71162497050288,54.36848787287046,55.28017013594457,126348000,53.21956507665232,44,58,44
2019-02-25,57.62008666992188,58.20481484304467,55.28862692760789,55.30305823867439,139626000,59.137134607717385,42,53,37
2019-03-04,59.38473129272461,59.76343838281658,55.90023576162211,57.51359266142995,150944000,63.36935358647956,47,39,34
2019-03-11,60.91000747680664,61.067757167986485,58.59352944290726,59.44394793259392,173506000,66.59032912185882,52,28,40
2019-03-18,58.37451553344727,61.29916266602566,57.69523015862657,60.5133832467012,154328000,57.53375416386488,46,48,39
2019-03-25,60.011756896972656,60.52830745751708,57.69826326870772,58.30085876320106,106526000,61.20307190853695,50,64,39
2019-04-01,59.82464599609375,60.52433109614877,59.37278383274013,60.01275420927333,86368000,60.55906331036817,44,62,39
2019-04-08,61.52558517456055,61.73558902567717,59.72361909511741,59.9142179403934,98184000,64.24255198523083,40,50,35
2019-04-15,62.50395202636719,63.15088936210245,61.125980133242514,61.6669170025506,89556000,66.19802498372536,49,50,38
2019-04-22,58.1286735534668,64.15960974344394,58.0838875130724,62.9403823109471,273886000,52.39777869730724,76,35,57
2019-04-29,58.03860092163086,59.26180732354816,57.47785660592675,58.112750750231605,167002000,52.15671938808093,59,50,42
2019-05-06,57.93608474731445,58.3536094015527,55.5700939886317,57.67830684061712,169734000,51.86426142507933,56,47,42
2019-05-13,57.29960250854492,59.12794446092653,56.30546323693852,57.951016174982406,123352000,49.9900634952655,52,41,36
2019-05-20,55.55984115600586,57.307909040960425,55.1497808543512,56.75617435542883,104282000,45.18369491250893,38,34,30
2019-05-27,51.86534118652344,55.89177180887543,51.00840000568058,55.514059490926535,251844000,37.03948444428415,57,49,34
2019-06-03,53.59763717651367,54.8397512086604,51.44135030072927,52.0031880671613,149350000,42.29185631101994,44,25,29
2019-06-10,54.85667419433594,55.55635927615445,53.75290101654197,53.92657791389613,116726000,45.82901853046008,41,31,35
2019-06-17,53.7354850769043,55.9405407710562,53.359264866516185,55.735510608868125,159260000,43.284667564554816,39,38,28
2019-06-24,55.81463623046875,56.0724179499405,53.41550000785238,53.94449622226853,117848000,48.945289523017976,33,31,31
2019-07-01,56.75518035888672,56.83331294307497,55.09753488259576,55.62652729342064,100812000,51.31261470554327,38,0,28
2019-07-08,57.04729843139648,57.65591552310684,56.67058084963664,56.89302654109345,107442000,52.05617925222596,36,0,24
2019-07-15,56.62231063842773,57.28566877047997,55.94701183978913,56.81788698729806,138458000,50.8396912231783,50,0,33
2019-07-22,60.54721832275391,62.97919978499695,55.781791521015016,56.62280547261423,248362000,60.1107458530227,42,28,26
2019-07-29,58.42278289794922,61.41461268519768,56.738260530481234,60.41534408005522,181896000,54.1572764563048,42,0,30
2019-08-05,57.94007110595703,59.96647248770164,57.75345500081766,58.862699276969465,128196000,52.87581905600079,45,53,28
2019-08-12,59.28171157836914,60.06500027239091,57.83157941150398,57.90075174553231,108396000,55.99259808729183,44,0,26
2019-08-19,58.27498245239258,59.61822201799438,57.11696939247904,59.42204958486999,114796000,53.15179395070724,38,38,31
2019-08-26,58.79203414916992,59.64250575358253,57.88582677832319,58.77760283798354,95340000,54.430557949144735,35,40,27
2019-09-02,60.72089767456055,60.84182682235537,59.29564908611121,59.29564908611121,130384000,58.93388296952416,44,58,34
2019-09-09,61.33000946044922,61.80028186562793,60.53975378313874,60.92642254266028,123416000,60.26914850563051,42,38,35
2019-09-16,62.03218460083008,62.12076573793511,60.21927259268794,61.31259337389958,147292000,61.810702698465214,44,31,37
2019-09-23,58.554161071777344,61.95654478167202,58.28841765138535,61.80526090572816,143692000,51.21156122060773,43,33,30
2019-09-30,59.83211135864258,60.62306189209857,57.847507979086686,58.72186853183703,110670000,54.31167993825832,41,44,39
2019-10-07,61.88886260986328,62.44124654852317,59.58477728326383,59.646485278006,109262000,58.84424899013115,44,40,32
2019-10-14,62.65971374511719,62.86847227636024,61.73757920065481,62.25164670416942,105354000,60.428749712413335,52,30,38
2019-10-21,62.7672004699707,64.65923975464219,62.20586009681004,62.7477916678307,162994000,60.65621078989521,61,41,53
2019-10-28,64.28550720214844,64.64033291323805,62.247313385700615,62.76670387188726,141250000,63.81985069834219,53,32,49
2019-11-04,64.59405517578125,65.8749830621989,64.37061094417324,64.40892738516739,124118000,64.44553162248936,49,42,45
2019-11-11,64.8453598022461,66.46165906126964,64.25317108075274,64.5691716147513,140826000,64.97678419800414,50,60,48
2019-11-18,65.34001159667969,65.60724710343538,64.26610346783502,64.76722414617545,109654000,66.05202208446237,38,32,42
2019-11-25,65.71573638916016,65.97749704232136,63.64852810259946,65.04790198196375,95584000,66.88368155276942,55,82,43
2019-12-02,66.93396759033203,67.65207051665769,65.51170327214479,66.08698140449717,116526000,69.49326895426805,44,51,37
2019-12-09,67.31217956542969,67.92826483750407,66.70904108987571,66.97975442873148,152090000,70.27637716815903,46,0,40
